Products_link,Products_Model,Products_details,Price_regular,Price_offers,Currency,Known_price
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-11-pro-max-app-iphone11p256gr4,Apple iPhone 11 Pro Max,2019 - 6 cores - 6.5 inch - 256GB - space grey - APP-IPHONE11P256GR4,649, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a3-sm-a300fzwulux,Samsung Galaxy A3,4 cores - 4.7 inch - 16GB - White - SM-A300FZWULUX,159.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-gigaset-gs5-s30853-h1523-r111,Gigaset GS5,2021 - 8 cores - 6.3 inch - 128GB - Gray - S30853-H1523-R111,285.46,249,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-z-flip3-sm-f711blvaeub,Samsung Galaxy Z Flip3,2021 - 8 cores - 6.7 inch - 128GB - Lavender - SM-F711BLVAEUB,658.37,647.74,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-14-pro-max-mqc33zda,Apple iPhone 14 Pro Max,2022 - A16 Bionic chip - 6 cores - 6.7 inch - 1GB - Silver - MQC33ZD/A,2049,1999,EUR,2
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-11-app-iphone11-128gn3,Apple iPhone 11,2019 - 6 cores - 6.1 inch - 128GB - Green - APP-IPHONE11-128GN3,689.95,465,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a13-sm-a135flbveub,Samsung Galaxy A13,2022 - 8 cores - 6.6 inch - 128GB - Blue - SM-A135FLBVEUB,207, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-14-pro-mq2n3zda,Apple iPhone 14 Pro,2022 - A16 Bionic chip - 6 cores - 6.1 inch - 1GB - Silver - MQ2N3ZD/A,1908,1860,EUR,2
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-11-app-iphone11-128rd3,Apple iPhone 11,2019 - 6 cores - 6.1 inch - 128GB - Red - APP-IPHONE11-128RD3,455,414,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-oppo-a17-oppo-flip-a57s-blk,Oppo A17,2022 - MediaTek Helio G35 - 8 cores - 6.56 inch - 64GB - Black - OPPO-FLIP-A57S-BLK,214.95, ,,1
